"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"5411681038056";"Triple";"[""France""]";"{""sirop-de-glucose"":""sirop de glucose"",""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure."",""malt-d-orge"":""malt d'_orge_""}";"[""Maredsous""]";"[""Super U""]";""
"5411681035000";"Maredsous";"[""France""]";"{""houblon"":""houblon"",""eau"":""Eau"",""levure"":""levure."",""malt-d-orge"":""malt d'orge"",""sucre"":""sucre""}";"[""Maredsous""]";"[""Cora""]";""
"5411681038001";"Triple";"[""France""]";"{""houblon"":""houblon"",""eau"":""Eau"",""levure"":""levure."",""malt-d-orge"":""malt d'orge"",""sucre"":""sucre""}";"[""Maredsous""]";"[""Casino""]";""
;"Bière spéciale blonde de haute fermentation";"[""France"",""United Kingdom""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_""}";"[""Duvel""]";"[""Asda"",""Monoprix"",""iD Stock""]";""
"5411681014050";"Duvel";"[""France""]";"null";"[""Duvel""]";"null";""
"5411663060020";"St. Stefanus";"[""France""]";"{""riz"":""riz"",""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure"",""malt-d-orge"":""malt d'_orge_""}";"[""Van Steenberge brewery"",""St Stefanus""]";"null";""
"5411663003300";"Queue de Charrue Triple";"[""France""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_.""}";"[""Queue de Charrue""]";"null";""
"5411663004772";"Triple";"[""Belgique"",""Finlande"",""France"",""Italie"",""Pays-Bas"",""Espagne"",""Suède""]";"{""malt-d-orge"":""Malt d'orge""}";"[""Piraat""]";"null";""
"5411663001276";"Celis White";"[""France""]";"{""froment"":""froment"",""houblon"":""houblon"",""epices"":""épices."",""eau"":""Eau"",""levure"":""levure"",""malt-d-orge"":""malt d'_orge_""}";"[""Celis""]";"null";""
"5411663002846";"Gulden Draak";"[""Belgium""]";"{""barley-malt"":""_barley_ malt""}";"[""Brouwerij Van Steenberge""]";"null";""
"5411663002716";"Gulden Draak";"[""France""]";"{""malt-d-orge"":""malt d'orge""}";"[""Brouwerij Van Steenberge"",""Van Steenberge""]";"[""Les fleurs du malt""]";""
"5410228158424";"Blanche";"[""Belgium"",""Czech Republic"",""Denmark"",""France"",""Germany"",""Italy"",""Netherlands"",""New Zealand"",""Spain"",""Sweden"",""United Kingdom""]";"{""coriandre"":""coriandre"",""froment"":""_froment_"",""ecorces-d-orange"":""écorces d'orange"",""malt-d-orge"":""Malt d'_orge_""}";"[""Hoegaarden"",""InBev""]";"[""Carrefour""]";""
"5410228152019";"Blanche";"[""France""]";"{""contient-du-malt-d-orge-et-du-froment"":""Contient du malt d'_orge_ et du _froment_.""}";"[""Hoegaarden""]";"[""Leclerc"",""Cora""]";""
"5410228080459";"blonde";"[""Belgium""]";"null";"[""jupiler""]";"null";""
"5410228188223";"Blonde";"[""Belgium"",""France"",""Netherlands"",""United Kingdom""]";"{""contient-du-malt-d-orge"":""Contient du malt d'orge.""}";"[""Leffe"",""InBev""]";"[""Carrefour""]";""
;"Bière blanche";"[""Belgique""]";"{""contient-du-malt-d-orge-et-du-froment"":""Contient du malt d'orge et du froment""}";"[""Hoegaarden""]";"null";""
"5410228141662";"Kriek Original";"[""France"",""Europe""]";"{""jus-concentre-de-cerises"":""jus concentré de cerises"",""colorant"":""colorant"",""e300"":""E300."",""sucres"":""sucres"",""antioxygene"":""antioxygène"",""houblon"":""houblon"",""epices"":""épices"",""0"":""0‚"",""froment"":""froment"",""eau"":""Eau"",""e150c"":""E150c"",""et-de-fruits"":""et de fruits"",""malt-d-orge"":""malt d'orge"",""aromes"":""arômes""}";"[""La Bécasse"",""InBev Belgium""]";"[""Leclerc""]";""
"5410228142089";"Bière blonde";"[""Spain""]";"null";"[""Leffe""]";"null";""
"5410228142027";"BIERE BLONDE";"[""belgium""]";"{""contient-du-malt-d-orge"":""contient du malt d'orge""}";"[""jupiler""]";"null";""
