"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"3184520000492";"Panach'";"[""France""]";"{"""":""."",""sirop-de-glucose"":""sirop de glucose"",""acide-citrique"":""acide citrique"",""antioxygene"":""antioxygène"",""biere"":""bière"",""eau"":""eau"",""acidifiant"":""acidifiant"",""arome"":""arôme"",""acide-ascorbique"":""acide ascorbique"",""limonade"":""Limonade"",""contient-du-malt-d-orge"":""contient du malt d'_orge_"",""sucre"":""sucre""}";"[""Panach'""]";"null";""
"3180611048510";"Les Gasques Gaillac 2014";"[""France""]";"{""gaillac-aop-contient-des-sulfites"":""Gaillac AOP. Contient des _sulfites_.""}";"[""Château Candastre""]";"null";""
"3182280072155";"Pêche abricot";"[""France""]";"{""colorant"":""colorant"",""dont-soja"":""dont _soja_"",""abricot-12"":""abricot 12‚"",""lait-ecreme-16"":""_lait_ écrémé 16‚"",""stabilisant"":""stabilisant"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""peche-12"":""pêche 12‚"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""jus-de-fruits-a-base-de-concentre-25"":""jus de fruits à base de concentré 25‚"",""aromes"":""arômes."",""beta"":""béta"",""sucre"":""sucre""}";"[""Danao""]";"[""Franprix""]";""
"3182280072162";"Orange Banane Fraise";"[""France""]";"{""colorant"":""colorant"",""dont-soja"":""dont _soja_"",""vitamine-c"":""vitamine C."",""lait-ecreme-16"":""_lait_ écrémé 16‚"",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-25"":""jus de fruits à base de concentrés 25‚"",""carotene"":""carotène"",""acidifiant"":""acidifiant"",""pectine-de-fruit"":""pectine de fruit"",""fraise-6"":""fraise 6‚"",""orange"":""orange"",""anthocyanes"":""anthocyanes"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""banane-6"":""banane 6‚"",""beta"":""bêta"",""sucre"":""sucre""}";"[""Danao""]";"[""Franprix""]";""
"3182280072179";"Multivitaminé jus de 9 fruits";"[""France""]";"{""colorant"":""colorant"",""dont-soja"":""dont _soja_"",""stabilisant"":""stabilisant"",""banane-0"":""banane 0‚"",""carotene"":""carotène"",""acidifiant"":""acidifiant"",""c-et-e"":""C et E."",""fruit-de-la-passion"":""fruit de la passion"",""abricot-0"":""abricot 0‚"",""pectine-de-fruit"":""pectine de fruit"",""vitamine-a"":""vitamine A"",""ananas"":""ananas"",""pomme-13"":""pomme 13‚"",""mangue-0"":""mangue 0‚"",""jus-et-purees-de-fruits-a-base-de-concentres"":""jus et purées de fruits à base de concentrés"",""acide-citrique"":""acide citrique"",""lait-ecreme"":""_lait_ écrémé"",""goyave-0"":""goyave 0‚"",""eau-de-source"":""Eau de source"",""orange-6"":""orange 6‚"",""citron-vert-0"":""citron vert 0‚"",""aromes"":""arômes"",""beta"":""bêta"",""sucre"":""sucre""}";"[""Danao""]";"null";""
"3182280066512";"Mon Fruit Préféré, Framboise Irrésistible";"[""France""]";"{""arome-naturel-de-framboise-et-autre-aromes-naturels"":""arôme naturel de framboise et autre arômes naturels."",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-24"":""jus de fruits à base de concentrés 24‚"",""concentre"":""concentré"",""acidifiant"":""acidifiant"",""pectine-de-fruit"":""pectine de fruit"",""acide-citrique"":""acide citrique"",""lait-ecreme"":""_lait_ écrémé"",""framboise-12"":""framboise 12‚"",""carotte-et-cassis"":""carotte et cassis"",""pomme"":""pomme"",""eau-de-source"":""Eau de source"",""sucre"":""sucre""}";"[""Danao"",""JFD (Jus Frais Développement)""]";"[""Carrefour""]";""
"3182280065799";"Orange Mangue";"[""France""]";"{""colorant"":""colorant"",""vitamine-c"":""vitamine C"",""lait-ecreme-16"":""_lait_ écrémé 16‚"",""stabilisant"":""stabilisant"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""orange"":""orange"",""jus-de-fruits-a-base-de-concentres"":""jus de fruits à base de concentrés"",""acide-citrique"":""acide citrique"",""mangue"":""mangue"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""beta"":""bêta"",""sucre"":""sucre""}";"[""Danao""]";"[""Franprix""]";""
"3182280066529";"Mon Fruit Préféré, Ananas Délicieux";"[""France""]";"{""pomme-10"":""pomme 10‚"",""stabilisant"":""stabilisant"",""concentre"":""concentré"",""jus-de-fruits-a-base-de-concentres-25"":""jus de fruits à base de concentrés 25‚"",""potiron-et-pomme"":""potiron et pomme"",""acidifiant"":""acidifiant"",""pectine-de-fruit"":""pectine de fruit"",""ananas"":""ananas"",""acide-citrique"":""acide citrique"",""lait-ecreme"":""_lait_ écrémé"",""eau-de-source"":""Eau de source"",""sucre"":""sucre"",""arome-naturel"":""arôme naturel.""}";"[""Danao"",""JFD (Jus Frais Développement)""]";"null";""
"3182280066536";"Pocket Pêche Abricot";"[""France""]";"{""colorant"":""colorant"",""dont-soja"":""dont _soja_"",""abricot-12"":""abricot 12‚"",""lait-ecreme-16"":""_lait_ écrémé 16‚"",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-25"":""jus de fruits à base de concentrés 25‚"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""peche-12"":""pêche 12‚"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""beta"":""Beta"",""sucre"":""sucre""}";"[""Danao""]";"[""Cora""]";""
"3182280060503";"Banane savoureuse";"[""France""]";"{""colorant"":""colorant"",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-24"":""jus de fruits à base de concentrés 24‚"",""pomme-9"":""pomme 9‚"",""acidifiant"":""acidifiant"",""carotene"":""carotène."",""pectine-de-fruit"":""pectine de fruit"",""banane"":""banane"",""acide-citrique"":""acide citrique"",""lait-ecreme"":""_lait_ écrémé"",""arome-banane"":""arôme banane"",""eau-de-source"":""Eau de source"",""beta"":""bêta"",""sucre"":""sucre""}";"[""Danao""]";"null";""
