tt0000122 ; Closing Hours at Vibert's Perfume Factory ; 4.7 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000123 ; Conjuring ; 5.9 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000124 ; The Pier at Treport During a Storm ; 5.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000125 ; The Terrible Railway Accident ; -1.0 ; Short ; N/A ; N/A ; 1896 ; 
tt0000126 ; Tom Old Boot ; -1.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000127 ; Les tribulations d'un concierge ; 3.8 ; Short , Comedy ; Georges Méliès ; N/A ; 1896 ; 
tt0000128 ; Academy for Young Ladies ; 6.1 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000129 ; Un petit diable ; 7.1 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000130 ; Une altercation au café ; 3.7 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000131 ; A Terrible Night ; 5.9 ; Short , Comedy ; Georges Méliès ; Georges Méliès ; 1896 ; 
tt0000132 ; Une partie de cartes ; 5.1 ; Short , Biography ; Georges Méliès ; Gaston Méliès , Georges Méliès , Georgette Méliès ; 1896 ; 
tt0000133 ; La voiture du potier ; 7.3 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000134 ; The Wandering Negro Minstrels ; 4.1 ; Short , Music ; N/A ; N/A ; 1896 ; 
tt0000135 ; A Watermelon Feast ; 7.1 ; Documentary , Short ; William K.L. Dickson ; N/A ; 1896 ; 
tt0000136 ; L'arroseur arrosé ; 6.2 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000137 ; Au réfectoire ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000138 ; The Bewitched Inn ; 6.5 ; Short , Comedy ; Georges Méliès ; Georges Méliès ; 1897 ; 
tt0000139 ; L'aveugle ; 5.2 ; Short ; Alice Guy ; N/A ; 1897 ; 
tt0000140 ; Baignade dans le torrent ; 5.4 ; Short ; Alice Guy ; N/A ; 1897 ; 
tt0000141 ; Ballet libella ; 5.3 ; Documentary , Short ; Alice Guy ; N/A ; 1897 ; 
tt0000142 ; Buffalo Bill and Escort ; 4.3 ; Short , News ; James H. White ; William F. Cody ; 1897 ; 
tt0000143 ; Les cambrioleurs ; 5.2 ; Comedy , Short ; Alice Guy ; N/A ; 1897 ; 
tt0000144 ; Chez le magnétiseur ; 5.1 ; Comedy , Short ; Alice Guy ; N/A ; 1897 ; 
tt0000145 ; En classe ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000146 ; Le cocher de fiacre endormi ; 4.7 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000147 ; The Corbett-Fitzsimmons Fight ; 5.2 ; Documentary , News , Sport ; Enoch J. Rector ; James J. Corbett , Bob Fitzsimmons , Billy Madden , George Siler ; 1897 ; 
tt0000148 ; Coucher d'Yvette ; -1.0 ; Short ; Alice Guy ; N/A ; 1897 ; 
tt0000149 ; Behind the Scenes ; 4.5 ; Short , Comedy ; Georges Méliès ; N/A ; 1897 ; 
tt0000150 ; Danse fleur de lotus ; 5.5 ; Documentary , Short ; Alice Guy ; N/A ; 1897 ; 
tt0000151 ; Faust et Marguerite ; 4.5 ; Short ; Georges Méliès ; Jeanne d'Alcy ; 1897 ; 
tt0000152 ; The Hallucinated Alchemist ; 5.6 ; Short , Fantasy , Horror ; Georges Méliès ; N/A ; 1897 ; 
tt0000153 ; The Haunted Castle ; 5.6 ; Short , Horror ; George Albert Smith ; N/A ; 1897 ; 
tt0000154 ; Henley Regatta ; -1.0 ; Short , News , Sport ; Birt Acres ; N/A ; 1897 ; 
tt0000155 ; The Hypnotist at Work ; -1.0 ; Short ; Georges Méliès ; N/A ; 1897 ; 
tt0000156 ; A Badly Managed Hotel ; 3.2 ; Short , Comedy ; Georges Méliès ; N/A ; 1896 ; 
tt0000157 ; Idylle ; 5.0 ; Short ; Alice Guy ; N/A ; 1897 ; 
tt0000158 ; Idylle interrompue ; 3.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000159 ; The Devil's Laboratory ; 4.8 ; Short , Horror ; Georges Méliès ; N/A ; 1897 ; 
tt0000160 ; The Last Days of Pompeii ; 5.0 ; Short , Drama ; Walter R. Booth ; N/A ; 1900 ; 
tt0000161 ; Leçon de danse ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000162 ; Niagara Falls ; 5.6 ; Documentary , Short ; N/A ; N/A ; 1897 ; 
tt0000163 ; Le planton du colonel ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000164 ; Le pêcheur dans le torrent ; 5.4 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000165 ; Riña en un café ; 4.6 ; Short ; Fructuós Gelabert ; José Amigo , Antonio Fino , Fructuós Gelabert , Antonio Masia ; 1897 ; 
tt0000166 ; Salida de los trabajadores de la fábrica España Industrial ; -1.0 ; Documentary , Short ; Fructuós Gelabert ; N/A ; 1897 ; 
tt0000167 ; Salida de misa de doce del Pilar de Zaragoza ; 4.8 ; Documentary , Short ; Eduardo Jimeno ; N/A ; 1897 ; 
tt0000168 ; Salida del público de la iglesia parroquial de Santa María de Sans ; -1.0 ; Documentary , Short ; Fructuós Gelabert ; N/A ; 1897 ; 
tt0000169 ; Slagsmål i gamla Stockholm ; 4.1 ; Short ; Alexandre Promio ; N/A ; 1897 ; 
tt0000170 ; The Twins' Tea Party ; 5.4 ; Comedy , Short ; Robert W. Paul ; N/A ; 1896 ; 
tt0000171 ; Une nuit agitée ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1897 ; 
tt0000172 ; The X-Ray Fiend ; 6.2 ; Short , Comedy ; George Albert Smith ; Laura Bayley , Tom Green ; 1897 ; 
tt0000173 ; Battle of Santiago Bay ; 4.8 ; Short , War ; J. Stuart Blackton ; N/A ; 1898 ; 
tt0000174 ; Výstavní párkar a lepic plakátù ; 5.3 ; Short , Comedy ; Jan Krízenecký ; Josef Sváb-Malostranský , Ferdinand Gýra ; 1898 ; 
tt0000175 ; A Sea Cave Near Lisbon ; 5.3 ; Documentary , Short ; Henry Short ; N/A ; 1896 ; 
tt0000176 ; Brittania ; -1.0 ; Short ; N/A ; N/A ; 1898 ; 
tt0000177 ; The Burglar on the Roof ; 4.8 ; Short , Crime ; J. Stuart Blackton ; J. Stuart Blackton ; 1898 ; 
tt0000178 ; The Cavalier's Dream ; 3.3 ; Short , Horror ; Edwin S. Porter ; N/A ; 1898 ; 
tt0000179 ; The Cave of the Demons ; 4.3 ; Short , Horror ; Georges Méliès ; N/A ; 1898 ; 
tt0000180 ; Le chemin de croix ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000181 ; Cinderella ; 7.6 ; Short , Fantasy ; George Albert Smith ; Laura Bayley ; 1898 ; 
tt0000182 ; Come Along Do! ; 5.0 ; Comedy , Short ; Robert W. Paul ; N/A ; 1898 ; 
tt0000183 ; The Corsican Brothers ; 6.6 ; Short , Drama ; George Albert Smith ; N/A ; 1898 ; 
tt0000184 ; Cripple Creek Bar-Room Scene ; 4.8 ; Western , Short ; James H. White ; N/A ; 1899 ; 
tt0000185 ; La crèche à Bethléem ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000186 ; Le cuirassé Maine ; 3.8 ; Short , War ; Georges Méliès ; N/A ; 1898 ; 
tt0000187 ; La cène ; 5.4 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000188 ; The Deserter ; 4.4 ; Short , Drama ; Robert W. Paul ; N/A ; 1898 ; 
tt0000189 ; Dorotea ; -1.0 ; Short ; Fructuós Gelabert ; N/A ; 1898 ; 
tt0000190 ; Dostavenícko ve mlýnici ; 5.8 ; Short , Comedy ; Jan Krízenecký ; Josef Sváb-Malostranský , Ferdinand Gýra ; 1898 ; 
tt0000191 ; Déménagement à la cloche de bois ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000192 ; Ella Lola, a la Trilby ; 4.8 ; Short ; James H. White ; Ella Lola ; 1898 ; 
tt0000193 ; L'entrée à Jérusalem ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000194 ; Express Train on a Railway Cutting ; 5.5 ; Documentary , Short ; Cecil M. Hepworth ; N/A ; 1898 ; 
tt0000195 ; Les farces de Jocko ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1898 ; 
tt0000196 ; Faust and Mephistopheles ; 5.2 ; Short , Fantasy ; George Albert Smith ; N/A ; 1898 ; 
tt0000197 ; La flagellation ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000198 ; La fuite en Égypte ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000199 ; Glasgow Fire Engine ; -1.0 ; Short ; N/A ; N/A ; 1898 ; 
tt0000200 ; Gran corrida de toros ; 3.5 ; Documentary , Short , Sport ; N/A ; Luis Mazzantini ; 1898 ; 
tt0000201 ; Indian War Council ; 5.2 ; Short , News ; William K.L. Dickson ; William F. Cody ; 1898 ; 
tt0000202 ; Le jardin des oliviers ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000203 ; Je vous y prrrrends! ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
